"measuredItemCPC","measuredItemCPC_description","measuredElement","measuredElement_description","timePointYears","timePointYears_description","geographicAreaM49","geographicAreaM49_description","Value","flagObservationStatus","flagMethod"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",32816673.2920468,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",4110337.16998682,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",26821578.5939748,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",32667702.0529106,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",4534761.28024141,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",1410879.20750189,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",3470124.49822583,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",4427390.2661959,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",32325144.0195555,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",4248793.05257428,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",26425517.7828531,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",32182115.4269554,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",4852339.31862582,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",1341854.60710889,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",3791511.54556882,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",4738901.70096539,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",31352164.198529,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",3817353.44637238,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",25226967.4532827,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",31189419.9600805,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",4683951.98026,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",1201461.4858805,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",3650857.30523501,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",4582394.97115791,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",31543049.8114468,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",3858676.8488514,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",24927126.4005527,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",31396953.2190704,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",4495392.98059901,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",1027520.10232202,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",3440917.04914051,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",4371887.53104377,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",31206111.5517569,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",3812810.31266113,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",24541443.5947782,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",31074122.9708916,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",5446645.43471151,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",1369646.05667599,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",4416288.47147615,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",5298795.02773029,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",32137176.7174508,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",3932464.9441903,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",25417787.0410128,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",32017957.8870407,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",5738570.48815392,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",1479874.79191646,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",4689378.81634646,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",5597087.27262263,"I","e"
"F1739","At2000 Bananas+Plantains","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",17699471.0223492,"I","e"
"F1735","Vegetables Primary","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",5495008.62530218,"I","e"
"F1739","At2000 Bananas+Plantains","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",17813047.215816,"I","e"
"F1735","Vegetables Primary","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",5588143.90749313,"I","e"
"F1739","At2000 Bananas+Plantains","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",16376222.5657275,"I","e"
"F1735","Vegetables Primary","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",5337427.24967587,"I","e"
"F1739","At2000 Bananas+Plantains","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",16743639.6005722,"I","e"
"F1735","Vegetables Primary","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",4662968.94393506,"I","e"
"F1739","At2000 Bananas+Plantains","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",16304916.6814486,"I","e"
"F1735","Vegetables Primary","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",4686970.05612406,"I","e"
"F1739","At2000 Bananas+Plantains","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",16852460.6246062,"I","e"
"F1735","Vegetables Primary","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",4882253.0086112,"I","e"
"F1738","Fruit Primary","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",12204462.397047,"I","e"
"F1738","Fruit Primary","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",1277345.63257946,"I","e"
"F1739","At2000 Bananas+Plantains","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",1600558.38812962,"I","e"
"F1738","Fruit Primary","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",12224903.3083228,"I","e"
"F1738","Fruit Primary","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",1478180.05011887,"I","e"
"F1739","At2000 Bananas+Plantains","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",1930766.70151139,"I","e"
"F1738","Fruit Primary","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",11038795.3160517,"I","e"
"F1738","Fruit Primary","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",1679706.84211701,"I","e"
"F1739","At2000 Bananas+Plantains","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",1979088.76414361,"I","e"
"F1738","Fruit Primary","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",12080670.6566372,"I","e"
"F1738","Fruit Primary","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",1563214.08469818,"I","e"
"F1739","At2000 Bananas+Plantains","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",1845189.82833343,"I","e"
"F1738","Fruit Primary","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",11617946.6253246,"I","e"
"F1738","Fruit Primary","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",1883824.35135757,"I","e"
"F1739","At2000 Bananas+Plantains","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",2342116.94728886,"I","e"
"F1738","Fruit Primary","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",11970207.615995,"I","e"
"F1738","Fruit Primary","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",1932221.04719172,"I","e"
"F1739","At2000 Bananas+Plantains","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",2512604.79147829,"I","e"
"F1735","Vegetables Primary","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",323212.755550162,"I","e"
"F1735","Vegetables Primary","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",452586.651392524,"I","e"
"F1735","Vegetables Primary","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",299381.922026594,"I","e"
"F1735","Vegetables Primary","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",281975.743635256,"I","e"
"F1735","Vegetables Primary","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",458292.595931288,"I","e"
"F1735","Vegetables Primary","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",580383.744286568,"I","e"
"F2057","Non Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",712556.004134114,"I","e"
"F2057","Non Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",637248.173442348,"I","e"
"F2057","Non Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",673213.285283953,"I","e"
"F2057","Non Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",676966.694790287,"I","e"
"F2057","Non Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",631101.663726927,"I","e"
"F2057","Non Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",616373.750435497,"I","e"
"F1730","Total Chemical Pulp","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",3521276.12180955,"I","e"
"F1730","Total Chemical Pulp","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",2779889.01944125,"I","e"
"F1730","Total Chemical Pulp","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",3344683.0214973,"I","e"
"F1730","Total Chemical Pulp","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",2679300.06525057,"I","e"
"F1730","Total Chemical Pulp","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",2902717.67151362,"I","e"
"F1730","Total Chemical Pulp","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",2909134.03855319,"I","e"
"F2057","Non Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",61892.027253941,"I","e"
"F1730","Total Chemical Pulp","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",90935.286663529,"I","e"
"F2057","Non Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",60288.409927862,"I","e"
"F1730","Total Chemical Pulp","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",98341.732326512,"I","e"
"F2057","Non Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",68431.096017693,"I","e"
"F1730","Total Chemical Pulp","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",87296.031294365,"I","e"
"F2057","Non Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",71749.025658092,"I","e"
"F1730","Total Chemical Pulp","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",110102.679401787,"I","e"
"F2057","Non Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",81976.95675738,"I","e"
"F1730","Total Chemical Pulp","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",135670.243361107,"I","e"
"F2057","Non Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",74761.122116658,"I","e"
"F1730","Total Chemical Pulp","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",137747.072848695,"I","e"
"F1720","Roots and Tubers,Total","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",344203.426046864,"I","e"
"F1720","Roots and Tubers,Total","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",81964.873618518,"I","e"
"F1720","Roots and Tubers,Total","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",345172.7016448,"I","e"
"F1720","Roots and Tubers,Total","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",107094.391338858,"I","e"
"F1720","Roots and Tubers,Total","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",338851.934544044,"I","e"
"F1720","Roots and Tubers,Total","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",128436.587162356,"I","e"
"F1720","Roots and Tubers,Total","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",329215.06000103,"I","e"
"F1720","Roots and Tubers,Total","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",154086.664556616,"I","e"
"F1720","Roots and Tubers,Total","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",336930.85555245,"I","e"
"F1720","Roots and Tubers,Total","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",230528.349981028,"I","e"
"F1720","Roots and Tubers,Total","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",361011.74585273,"I","e"
"F1720","Roots and Tubers,Total","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",214078.91455423,"I","e"
"F1723","Sugar Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",102885.362195692,"I","e"
"F1723","Sugar Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",2296.83131305,"I","e"
"F1723","Sugar Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",96403.740504258,"I","e"
"F1723","Sugar Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",853.905077668,"I","e"
"F1723","Sugar Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",115590.812468352,"I","e"
"F1723","Sugar Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",1612.758756278,"I","e"
"F1723","Sugar Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",91465.67390472,"I","e"
"F1723","Sugar Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",1393.667614112,"I","e"
"F1723","Sugar Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",83817.15207682,"I","e"
"F1723","Sugar Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",2077.372396316,"I","e"
"F1723","Sugar Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",86265.05595226,"I","e"
"F1723","Sugar Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",2045.551614808,"I","e"
"F1753","Fibre Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",2386.463638377,"I","e"
"F1753","Fibre Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",3799.498260924,"I","e"
"F1753","Fibre Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",6471.53814393,"I","e"
"F1753","Fibre Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",5303.82789057,"I","e"
"F1753","Fibre Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",7542.54163998,"I","e"
"F1753","Fibre Crops Primary","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",4630.10024436,"I","e"
"F2044","Livestocks (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",5995094.69807198,"I","e"
"F1780","Milk,Total","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",5006074.09151303,"I","e"
"F2044","Livestocks (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",1064636.78201559,"I","e"
"F1780","Milk,Total","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",951425.659232317,"I","e"
"F2044","Livestocks (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",5899626.23670249,"I","e"
"F1780","Milk,Total","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",4863494.8491647,"I","e"
"F2044","Livestocks (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",1060827.773057,"I","e"
"F1780","Milk,Total","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",947679.716737749,"I","e"
"F2044","Livestocks (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",6125196.74524635,"I","e"
"F1780","Milk,Total","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",5111327.33648218,"I","e"
"F2044","Livestocks (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",1033094.67502499,"I","e"
"F1780","Milk,Total","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",920268.8899855,"I","e"
"F2044","Livestocks (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",6615923.41089414,"I","e"
"F1780","Milk,Total","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",5590520.3307943,"I","e"
"F2044","Livestocks (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",1054475.9314585,"I","e"
"F1780","Milk,Total","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",942535.902596532,"I","e"
"F2044","Livestocks (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",6664667.95697869,"I","e"
"F1780","Milk,Total","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",5662898.67411385,"I","e"
"F2044","Livestocks (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",1030356.96323536,"I","e"
"F1780","Milk,Total","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",918317.114603315,"I","e"
"F2044","Livestocks (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",6719389.67643804,"I","e"
"F1780","Milk,Total","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",5748206.25884749,"I","e"
"F2044","Livestocks (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",1049191.67180747,"I","e"
"F1780","Milk,Total","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",935737.17824332,"I","e"
"F1770","Meat Indigenous, Total","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",21469.611473424,"I","e"
"F1770","Meat Indigenous, Total","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",21461.552309958,"I","e"
"F1770","Meat Indigenous, Total","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",21477.67063689,"I","e"
"F1770","Meat Indigenous, Total","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",21493.788963822,"I","e"
"F1770","Meat Indigenous, Total","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",21504.53451511,"I","e"
"F1770","Meat Indigenous, Total","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",21515.280066398,"I","e"
"F1770","Meat Indigenous, Total","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",44958.40707321,"I","e"
"F1770","Meat Indigenous, Total","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",45321.734972395,"I","e"
"F1770","Meat Indigenous, Total","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",45780.835497725,"I","e"
"F1770","Meat Indigenous, Total","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",45353.65918111,"I","e"
"F1770","Meat Indigenous, Total","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",45353.65918111,"I","e"
"F1770","Meat Indigenous, Total","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",45353.65918111,"I","e"
